Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym
N,G,Carex deflexa var. deflexa,northern sedge,,
N,G,Carex deweyana var. deweyana,Dewey's sedge,,
N,G,Carex diandra,lesser panicled sedge,,Carex diandra
N,G,Carex disperma,soft-leaved sedge,,Carex disperma
N,G,Carex duriuscula,spike rush sedge,,Carex stenophylla
N,G,Carex eburnea,ivory sedge,,Carex eburnea
N,G,Carex echinata subsp. echinata,slender sedge,,Carex echinata subsp. echinata
N,G,Carex echinodes,marsh straw sedge,,Carex tenera var. echinodes
N,G,Carex emoryi,Emory's sedge,,Carex emoryi
N,G,Carex exilis,coastal sedge,,Carex exilis
N,G,Carex filifolia var. filifolia,thread-leaved sedge,,
N,G,Carex flava,yellow sedge,,Carex flava
N,G,Carex foenea,hay sedge,,Carex foenea
N,G,Carex formosa,handsome sedge,,Carex formosa
N,G,Carex garberi,Garber's sedge,,Carex garberi
N,G,Carex gracillima,graceful sedge,,Carex gracillima
N,G,Carex granularis,granular sedge,,Carex granularis
N,G,Carex gravida,heavy sedge,,Carex gravida
N,G,Carex grayi,Gray's sedge,,Carex grayi
N,G,Carex grisea,ambiguous sedge,,Carex amphibola
N,G,Carex gynandra,nodding sedge,,Carex gynandra
N,G,Carex gynocrates,feminine sedge,,Carex dioica var. gynocrates
N,G,Carex hallii,Hall's sedge,,"Carex hallii s.s., Carex parryana"
N,G,Carex haydenii,Hayden's sedge,,Carex haydenii
N,G,Carex hirtifolia,hairy-leaved sedge,,Carex hirtifolia
N,G,Carex hitchcockiana,Hitchcock's sedge,,Carex hitchcockiana
N,G,Carex hookerana,Hooker's sedge,,
N,G,Carex houghtoniana,Houghton's sedge,,Carex houghtoniana
N,G,Carex hystericina,porcupine sedge,,Carex hystericina
N,G,Carex inops subsp. heliophila,sun-loving sedge,,
N,G,Carex interior,interior sedge,,Carex interior
N,G,Carex intumescens,bladder sedge,,Carex intumescens
N,G,Carex jamesii,James' sedge,,Carex jamesii
N,G,Carex lacustris,lake sedge,,Carex lacustris
N,G,Carex laeviconica,smooth-cone sedge,,Carex laeviconica
N,G,Carex laevivaginata,smooth-sheathed sedge,,Carex laevivaginata
N,G,Carex lasiocarpa,fen  wiregrass sedge,,Carex lasiocarpa var. americana
N,G,Carex laxiculmis var. copulata,spreading sedge,,Carex laxiculmis
N,G,Carex lenticularis var. lenticularis,lenticular sedge,,Carex lenticularis
N,G,Carex leptalea,bristle-stalked sedge,,Carex leptalea
N,G,Carex leptonervia,fine-nerved sedge,,Carex leptonervia
N,G,Carex limosa,candle-lantern sedge,,Carex limosa
N,G,Carex livida,lead-colored sedge,,Carex livida
N,G,Carex lucorum var. lucorum,Blue Ridge sedge,,Carex lucorum
N,G,Carex lupulina,hop umbrella sedge,,Carex lupulina
N,G,Carex lurida,sallow sedge,,Carex lurida
N,G,Carex magellanica subsp. irrigua,poor sedge,,Carex paupercula
N,G,Carex meadii,Mead's sedge,,Carex meadii
N,G,Carex media,intermediate sedge,,"Carex media s.s., Carex norvegica"
N,G,Carex merritt-fernaldii,Fernald's sedge,,Carex brevior s.l.
N,G,Carex michauxiana,Michaux's sedge,,Carex michauxiana
N,G,Carex molesta,troublesome sedge,,Carex brevior s.l.
N,G,Carex muehlenbergii var. muehlenbergii,Muhlenberg's sedge,,Carex muhlenbergii var. muhlenbergii
N,G,Carex muskingumensis,Muskingum sedge,,Carex muskingumensis
N,G,Carex normalis,right-angle sedge,,Carex normalis
N,G,Carex novae-angliae,New England sedge,,Carex novae-angliae
N,G,Carex obtusata,blunt sedge,,Carex obtusata
N,G,Carex oligocarpa,few-fruited sedge,,Carex oligocarpa
N,G,Carex oligosperma,bog wiregrass sedge,,Carex oligosperma
N,G,Carex ormostachya,necklace sedge,,Carex gracilescens
N,G,Carex pallescens,pale sedge,,Carex pallescens
N,G,Carex pauciflora,few-flowered sedge,,Carex pauciflora
N,G,Carex peckii,Peck's sedge,,Carex peckii
N,G,Carex pedunculata,long-stalked sedge,,Carex pedunculata
N,G,Carex pellita,woolly sedge,,Carex pellita
N,G,Carex pensylvanica,Pennsylvania sedge,,"Carex pensylvanica, Carex pensylvanica var. pensylvanica"
N,G,Carex plantaginea,plantain-leaved sedge,,Carex plantaginea
N,G,Carex praegracilis,very slender sedge,,Carex praegracilis
N,G,Carex prairea,prairie sedge,,Carex prairea
N,G,Carex praticola,prairie-dweller sedge,,Carex praticola
N,G,Carex projecta,projecting sedge,,Carex projecta
N,G,Carex pseudocyperus,cyperus sedge,,Carex pseudocyperus
N,G,Carex radiata,eastern star sedge,,Carex radiata
N,G,Carex retrorsa,retrorse sedge,,Carex retrorsa
N,G,Carex richardsonii,Richardson's sedge,,Carex richardsonii
N,G,Carex rosea,starry sedge,,Carex rosea
N,G,Carex rossii,Ross' sedge,,Carex rossii
N,G,Carex rostrata,beaked sedge,,Carex rostrata s.s.
N,G,Carex sartwellii,Sartwell's sedge,,Carex sartwellii
N,G,Carex saximontana,Rocky Mountain sedge,,Carex backii s.l.
N,G,Carex scirpoidea subsp. scirpoidea,northern single-spike sedge,,Carex scirpoidea
N,G,Carex scoparia,pointed broom sedge,,Carex scoparia
N,G,Carex siccata,dry spike sedge,,Carex siccata
N,G,Carex sparganioides,bur-reed sedge,,"Carex sparganioides s.l., Carex sparganioides var. sparganioides"
N,G,Carex sprengelii,Sprengel's sedge,,Carex sprengelii
N,G,Carex sterilis,sterile sedge,,Carex sterilis
N,G,Carex stipata var. stipata,awl-fruited sedge,,Carex stipata
N,G,Carex stricta,tussock sedge,,Carex stricta
N,G,Carex suberecta,prairie straw sedge,,Carex suberecta
N,G,Carex supina subsp. spaniocarpa,weak arctic sedge,,Carex supina
N,G,Carex sychnocephala,many-headed sedge,,Carex sychnocephala
N,G,Carex tenera,quill sedge,,"Carex tenera s.l., Carex tenera var. tenera"
N,G,Carex tenuiflora,sparse-flowered sedge,,Carex tenuiflora
N,G,Carex tetanica,rigid sedge,,Carex tetanica
N,G,Carex tonsa,shaved sedge,,Carex umbellata s.l.
N,G,Carex tonsa var. rugosperma,shaved sedge,,Carex umbellata s.l.
N,G,Carex tonsa var. tonsa,shaved sedge,,Carex umbellata s.l.
N,G,Carex torreyi,Torrey's sedge,,Carex torreyi
N,G,Carex tribuloides var. tribuloides,blunt broom sedge,,Carex tribuloides
N,G,Carex trichocarpa,hairy-fruited sedge,,Carex trichocarpa
N,G,Carex trisperma,three-seeded bog sedge,,Carex trisperma
N,G,Carex tuckermanii,Tuckerman's sedge,,Carex tuckermanii
N,G,Carex typhina,cattail sedge,,Carex typhina
N,G,Carex umbellata,umbel sedge,,Carex umbellata s.l.
N,G,Carex utriculata,beaked sedge,,Carex utriculata
N,G,Carex vaginata,sheathed sedge,,Carex vaginata
N,G,Carex vesicaria,inflated sedge,,Carex vesicaria
N,G,Carex viridula subsp. viridula,green sedge,,Carex viridula
N,G,Carex vulpinoidea,fox sedge,,"Carex vulpinoidea, Carex vulpinoidea var. vulpinoidea"
N,G,Carex woodii,Wood's sedge,,Carex woodii
N,G,Carex xerantica,dry sedge,,Carex xerantica
N,G,Carex xknieskernii,Kniekern's sedge,,
N,D,Carpinus caroliniana subsp. virginiana,blue beech,,Carpinus caroliniana var. virginiana
I,H,Carum carvi,caraway,,Carum carvi
N,D,Carya cordiformis,bitternut hickory,,Carya cordiformis
N,D,Carya ovata var. ovata,shagbark hickory,,Carya ovata
N,H,Castilleja coccinea,Indian paintbrush,,Castilleja coccinea
N,H,Castilleja septentrionalis,northern paintbrush,,Castilleja septentrionalis
N,H,Castilleja sessiliflora,downy paintbrush,,Castilleja sessiliflora
I,D,Catalpa speciosa,cigar tree,,Catalpa speciosa
N,H,Caulophyllum thalictroides,blue cohosh,,Caulophyllum thalictroides
N,D,Ceanothus americanus,New Jersey tea,,"Ceanothus americanus, Ceanothus americanus var. pitcheri"
N,D,Ceanothus herbaceus,oval-leaved New Jersey tea,,Ceanothus herbaceus
I,C,Celastrus orbiculatus,Oriental bittersweet,,Celastrus orbiculatus
N,C,Celastrus scandens,American bittersweet,,Celastrus scandens
N,D,Celtis occidentalis,hackberry,,Celtis occidentalis
N,G,Cenchrus longispinus,sandbur,,Cenchrus longispinus
N,G,Cenchrus spinifex,coastal sandbur,,
I,H,Centaurea cyanus,cornflower,,Centaurea cyanus
I,H,Centaurea jacea,brown knapweed,,Centaurea jacea
I,H,Centaurea montana,perennial cornflower,,Centaurea montana
I,H,Centaurea nigrescens,,,Centaurea dubia
I,H,Centaurea stoebe subsp. micranthos,spotted knapweed,,Centaurea maculosa
I,H,Centaurea xmoncktonii,meadow knapweed,,
I,H,Centaurium pulchellum,branching centaury,,Centaurium pulchellum
N,D,Cephalanthus occidentalis,buttonbush,,Cephalanthus occidentalis
N,H,Cerastium arvense,field chickweed,,Cerastium arvense
I,H,Cerastium arvense subsp. arvense,field chickweed,,Cerastium arvense
N,H,Cerastium arvense subsp. strictum,field chickweed,,Cerastium arvense
N,H,Cerastium brachypodum,short-stalked chickweed,,Cerastium brachypodum
I,H,Cerastium fontanum subsp. vulgare,mouse-ear chickweed,,Cerastium vulgatum
N,H,Cerastium nutans var. nutans,nodding chickweed,,Cerastium nutans
N,"H,S",Ceratophyllum demersum,common coontail,,Ceratophyllum demersum
N,"H,S",Ceratophyllum echinatum,spiny coontail,,Ceratophyllum echinatum
I,H,Chaenorhinum minus,dwarf snapdragon,,Chaenorrhinum minus
N,H,Chamaecrista fasciculata,partridge pea,,Chamaecrista fasciculata
N,B,Chamaedaphne calyculata,leatherleaf,,Chamaedaphne calyculata
N,H,Chamaenerion angustifolium,fireweed,,Epilobium angustifolium
N,H,Chamaenerion angustifolium subsp. angustifolium,fireweed,,Epilobium angustifolium var. angustifolium
N,H,Chamaenerion angustifolium subsp. circumvagum,fireweed,,Epilobium angustifolium var. canescens
N,H,Chamaerhodos erecta,Nuttall's groundrose,,Chamaerhodos erecta
I,H,Chelidonium majus,celandine,,Chelidonium majus
N,H,Chelone glabra,white turtlehead,,Chelone glabra
I,H,Chenopodium album,white lamb's quarters,,Chenopodium album s.s.
N,H,Chenopodium berlandieri,pitseed goosefoot,,Chenopodium berlandieri
N,H,Chenopodium berlandieri var. bushianum,pitseed goosefoot,,Chenopodium berlandieri var. bushianum
N,H,Chenopodium berlandieri var. zschackei,pitseed goosefoot,,Chenopodium berlandieri var. zschackei
N,H,Chenopodium capitatum var. capitatum,strawberry blite,,Chenopodium capitatum
N,H,Chenopodium desiccatum,narrow-leaved lamb's quarters,,Chenopodium desiccatum s.s.
N,H,Chenopodium glaucum,oak-leaved goosefoot,,Chenopodium glaucum
N,H,Chenopodium glaucum var. glaucum,oak-leaved goosefoot,,Chenopodium glaucum
N,H,Chenopodium glaucum var. salinum,oak-leaved goosefoot,,Chenopodium glaucum
I,H,Chenopodium leptophyllum,narrow-leaved goosefoot,,Chenopodium leptophyllum
N,H,Chenopodium pratericola,desert goosefoot,,Chenopodium pratericola
N,H,Chenopodium rubrum,alkali blite,,Chenopodium rubrum
N,H,Chenopodium rubrum var. humile,alkali blite,,Chenopodium rubrum
N,H,Chenopodium rubrum var. rubrum,alkali blite,,Chenopodium rubrum
N,H,Chenopodium simplex,maple-leaved goosefoot,,Chenopodium gigantospermum
N,H,Chenopodium standleyanum,woodland goosefoot,,Chenopodium standleyanum
N,B,Chimaphila umbellata subsp. umbellata,pipsissewa,,Chimaphila umbellata var. cisatlantica
N,H,Chrysosplenium americanum,American golden saxifrage,,Chrysosplenium americanum
N,H,Chrysosplenium iowense,Iowa golden saxifrage,,Chrysosplenium iowense
I,H,Cichorium intybus,chicory,,Cichorium intybus
N,H,Cicuta bulbifera,bulb-bearing water hemlock,,Cicuta bulbifera
N,H,Cicuta maculata,spotted water hemlock,,Cicuta maculata
N,H,Cicuta maculata var. angustifolia,narrowleaf water hemlock,,
N,H,Cicuta maculata var. bolanderi,Bolander's water hemlock,,
N,H,Cicuta maculata var. maculata,spotted water hemlock,,Cicuta maculata var. maculata
N,G,Cinna arundinacea,stout woodreed,,Cinna arundinacea
N,G,Cinna latifolia,drooping woodreed,,Cinna latifolia
N,H,Circaea alpina subsp. alpina,alpine enchanter's nightshade,,Circaea alpina var. alpina
N,H,Circaea canadensis subsp. canadensis,enchanter's nightshade,,
N,H,Circaea xsterilis,hybrid enchanter's nightshade,,Circaea xintermedia
N,H,Cirsium altissimum,tall thistle,,Cirsium altissimum
I,H,Cirsium arvense,Canada thistle,,"Cirsium arvense, Cirsium arvense var. arvense, Cirsium arvense var. horridum"
N,H,Cirsium discolor,field thistle,,Cirsium discolor
N,H,Cirsium flodmanii,Flodman's thistle,,Cirsium flodmanii
N,H,Cirsium muticum,swamp thistle,,Cirsium muticum
I,H,Cirsium palustre,marsh thistle,,
N,H,Cirsium pumilum var. hillii,Hill's thistle,,Cirsium hillii
I,H,Cirsium vulgare,bull thistle,,Cirsium vulgare
N,G,Cladium mariscoides,twig rush,,Cladium mariscoides
N,H,Claytonia caroliniana,Carolina spring beauty,,Claytonia caroliniana
N,H,Claytonia virginica,Virginia spring beauty,,Claytonia virginica
N,H,Claytosmunda claytoniana,interrupted fern,,Osmunda claytoniana
N,C,Clematis occidentalis var. occidentalis,purple clematis,,Clematis occidentalis
N,C,Clematis virginiana,virgin's bower,,Clematis virginiana
N,H,Clintonia borealis,bluebead lily,,Clintonia borealis
N,H,Coeloglossum viride var. virescens,long-bracted orchid,,Habenaria viridis var. bracteata
N,H,Collomia linearis,linear-leaved collomia,,Collomia linearis
N,H,Comandra umbellata subsp. umbellata,bastard toadflax,,Comandra umbellata var. umbellata
N,H,Comarum palustre,marsh cinquefoil,,Potentilla palustris
I,H,Commelina communis,Asiatic dayflower,,Commelina communis
N,H,Commelina erecta,slender dayflower,,Commelina erecta
N,D,Comptonia peregrina,sweet fern,,Comptonia peregrina
I,H,Conium maculatum,poison hemlock,,Conium maculatum
I,H,Conringia orientalis,hare's ear mustard,,Conringia orientalis
I,H,Convallaria majalis var. majalis,lily-of-the-valley,,Convallaria majalis
I,H,Convolvulus arvensis,field bindweed,,Convolvulus arvensis
N,H,Conyza canadensis,horseweed,,Conyza canadensis
N,H,Conyza ramosissima,spreading fleabane,,Conyza ramosissima
N,H,Coptis trifolia,goldthread,,Coptis trifolia var. groenlandica
N,H,Corallorhiza maculata,spotted coralroot,,Corallorhiza maculata
N,H,Corallorhiza maculata var. maculata,spotted coralroot,,Corallorhiza maculata var. maculata
N,H,Corallorhiza maculata var. occidentalis,western spotted coralroot,,Corallorhiza maculata var. occidentalis
N,H,Corallorhiza odontorhiza var. odontorhiza,autumn coralroot,,Corallorhiza odontorhiza
N,H,Corallorhiza striata var. striata,striped coralroot,,Corallorhiza striata
N,H,Corallorhiza trifida,early coralroot,,Corallorhiza trifida
I,H,Coreopsis lanceolata,lance-leaved coreopsis,,Coreopsis lanceolata
N,H,Coreopsis palmata,bird's foot coreopsis,,Coreopsis palmata
I,H,Coreopsis tinctoria,plains coreopsis,,Coreopsis tinctoria
N,H,Corispermum americanum var. americanum,American bugseed,,Corispermum americanum
N,H,Corispermum pallasii,hyssop-leaved bugseed,,Corispermum hyssopifolium
N,H,Corispermum villosum,eastern bugseed,,Corispermum villosum s.s.
N,D,Cornus alternifolia,pagoda dogwood,,Cornus alternifolia
N,"D,H",Cornus canadensis,bunchberry,,Cornus canadensis
N,D,Cornus drummondii,Rough-leaved dogwood,,Cornus drummondii
N,D,Cornus obliqua,pale dogwood,,"Cornus amomum, Cornus amomum var. schuetzeana"
N,D,Cornus racemosa,gray dogwood,,Cornus racemosa
N,D,Cornus rugosa,round-leaved dogwood,,Cornus rugosa
N,D,Cornus sericea,red-osier dogwood,,Cornus sericea
N,H,Corydalis aurea var. aurea,golden corydalis,,Corydalis aurea var. aurea
N,H,Corydalis micrantha var. micrantha,slender fumewort,,Corydalis micrantha var. micrantha
I,H,Corydalis nobilis,noble corydalis,,
N,H,Corydalis sempervirens,pale corydalis,,Corydalis sempervirens
N,D,Corylus americana,American hazelnut,,Corylus americana
N,D,Corylus cornuta subsp. cornuta,beaked hazelnut,,Corylus cornuta
N,K,Coryphantha vivipara,ball cactus,,"Coryphantha vivipara, Coryphantha vivipara var. vivipara"
I,H,Cota tinctoria,golden marguerite,,Anthemis tinctoria
N,H,Crassula aquatica,water pygmyweed,,Crassula aquatica
N,D,Crataegus calpodendron,late hawthorn,,Crataegus calpodendron
N,D,Crataegus chrysocarpa,fireberry hawthorn,,Crataegus chrysocarpa s.l.
N,D,Crataegus chrysocarpa var. blanchardii,Blanchard's hawthorn,,
N,D,Crataegus chrysocarpa var. chrysocarpa,fireberry hawthorn,,Crataegus chrysocarpa s.l.
N,D,Crataegus chrysocarpa var. faxonii,fireberry hawthorn,,Crataegus chrysocarpa s.l.
N,D,Crataegus coccinea,scarlet hawthorn,,Crataegus coccinea
N,D,Crataegus douglasii,black hawthorn,,Crataegus douglasii
N,D,Crataegus fluviatilis,river hawthorn,,
N,D,Crataegus laurentiana,Laurentian hawthorn,,
N,D,Crataegus macracantha,large-thorned hawthorn,,Crataegus succulenta s.l.
N,D,Crataegus macrosperma,bigfruit hawthorn,,Crataegus flabellata
N,D,Crataegus mollis,downy hawthorn,,Crataegus mollis
N,D,Crataegus punctata,dotted hawthorn,,Crataegus punctata
N,D,Crataegus scabrida,rough-leaved hawthorn,,
N,D,Crataegus schuettei,royal hawthorn,,
N,D,Crataegus sheridana,Sheridan's hawthorn,,
N,D,Crataegus submollis,Quebec hawthorn,,Crataegus submollis
N,D,Crataegus succulenta var. succulenta,fleshy hawthorn,,
N,H,Crepis runcinata subsp. runcinata,incised hawk's beard,,Crepis runcinata subsp. runcinata
I,H,Crepis tectorum,yellow hawk's beard,,Crepis tectorum
N,H,Crocanthemum bicknellii,hoary frostweed,,Helianthemum bicknellii
N,H,Crocanthemum canadense,Canada frostweed,,Helianthemum canadense
N,H,Crotalaria sagittalis var. sagittalis,rattlebox,,
I,H,Croton glandulosus var. septentrionalis,tooth-leaved croton,,Croton glandulosus
N,H,Cryptogramma acrostichoides,American rock-brake,,
N,H,Cryptogramma stelleri,slender rock-brake,,Cryptogramma stelleri
N,H,Cryptotaenia canadensis,honewort,,Cryptotaenia canadensis
N,H,Cuscuta campestris,field dodder,,
N,H,Cuscuta cephalanthi,buttonbush dodder,,Cuscuta cephalanthi
N,H,Cuscuta coryli,hazel dodder,,Cuscuta coryli
N,H,Cuscuta glomerata,rope dodder,,Cuscuta glomerata
N,H,Cuscuta gronovii,scaldweed,,Cuscuta gronovii
N,H,Cuscuta gronovii var. gronovii,swamp dodder,,
N,"C,H",Cuscuta gronovii var. latiflora,swamp dodder,Cuscuta saururi,
N,"C,H",Cuscuta indecora var. indecora,large-seed dodder,,
N,H,Cuscuta obtusiflora var. glandulosa,southern dodder,,Cuscuta obtusiflora var. glandulosa
N,H,Cuscuta pentagona,bur clover dodder,,Cuscuta pentagona s.l.
N,H,Cuscuta polygonorum,smartweed dodder,,Cuscuta polygonorum
N,H,Cuscuta umbrosa,large-fruit dodder,,Cuscuta megalocarpa
N,H,Cyclachaena xanthiifolia,marsh elder,,Iva xanthifolia
N,H,Cycloloma atriplicifolium,winged pigweed,,Cycloloma atriplicifolium
N,H,Cymopterus glomeratus var. glomeratus,plains spring parsley,,Cymopterus acaulis var. acaulis
I,H,Cynoglossum officinale,hound's tongue,,Cynoglossum officinale
N,H,Cynoglossum virginianum var. boreale,wild comfrey,,Cynoglossum virginianum var. boreale
N,G,Cyperus acuminatus,short-pointed umbrella sedge,,Cyperus acuminatus
N,G,Cyperus bipartitus,brook nut sedge,,Cyperus bipartitus
N,G,Cyperus diandrus,sedge galingale,,Cyperus diandrus
N,G,Cyperus engelmannii,Engelmann's flatsedge,,Cyperus odoratus s.l.
N,G,Cyperus erythrorhizos,red-rooted cyperus,,Cyperus erythrorhizos
I,G,Cyperus esculentus var. leptostachyus,yellow nutsedge,,Cyperus esculentus
I,G,Cyperus fuscus,brown flatsedge,,Cyperus fuscus
N,G,Cyperus houghtonii,Houghton's cyperus,,Cyperus houghtonii
N,G,Cyperus lupulinus,slender nut sedge,,Cyperus lupulinus
N,G,Cyperus lupulinus subsp. lupulinus,slender nut sedge,,Cyperus lupulinus
N,G,Cyperus lupulinus subsp. macilentus,slender nut sedge,,Cyperus lupulinus
N,G,Cyperus odoratus,fragrant cyperus,,Cyperus odoratus s.l.
N,G,Cyperus schweinitzii,Schweinitz's nut sedge,,Cyperus schweinitzii
N,G,Cyperus squarrosus,awned umbrella sedge,,"Cyperus aristatus, Cyperus squarrosus s.s."
N,G,Cyperus strigosus,straw-colored umbrella sedge,,Cyperus strigosus
N,G,Cyperus subsquarrosus,hemicarpha,,Hemicarpha micrantha
N,G,Cyperus xmesochorus,Midland sand sedge,,Cyperus xmesochorus
N,H,Cypripedium acaule,stemless lady's slipper,,Cypripedium acaule
N,H,Cypripedium arietinum,ram's head orchid,,Cypripedium arietinum
N,H,Cypripedium candidum,small white lady's slipper,,Cypripedium candidum
N,H,Cypripedium parviflorum,yellow lady's slipper,,Cypripedium calceolus
N,H,Cypripedium parviflorum var. makasin,lesser yellow lady's-slipper,,Cypripedium calceolus var. parviflorum
N,H,Cypripedium parviflorum var. pubescens,large yellow lady's-slipper,,Cypripedium calceolus var. pubescens
N,H,Cypripedium reginae,showy lady's slipper,,Cypripedium reginae
N,H,Cypripedium xandrewsii,Andrew's lady's slipper,,Cypripedium xandrewsii
N,H,Cystopteris bulbifera,bulblet bladder fern,,Cystopteris bulbifera
N,H,Cystopteris fragilis,fragile bladder fern,,"Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l."
N,H,Cystopteris laurentiana,Laurentian bladder fern,,Cystopteris laurentiana
N,H,Cystopteris protrusa,lowland bladder fern,,Cystopteris protrusa
N,H,Cystopteris tennesseensis,Tennessee bladder fern,,Cystopteris tennesseensis
N,H,Cystopteris tenuis,Macay's brittle fern,,"Cystopteris fragilis s.l., Cystopteris fragilis var. mackayi s.l."
I,G,Dactylis glomerata,orchard grass,,Dactylis glomerata
N,H,Dalea candida,white prairie clover,,Dalea candida
N,H,Dalea candida var. candida,white prairie clover,,Dalea candida var. candida
N,H,Dalea candida var. oligophylla,western white prairie clover,,Dalea candida var. oligophylla
N,H,Dalea leporina,foxtail dalea,,Dalea leporina
N,H,Dalea purpurea var. purpurea,purple prairie clover,,Dalea purpurea var. purpurea
N,H,Dalea villosa var. villosa,silky prairie clover,,Dalea villosa var. villosa
N,G,Danthonia spicata,poverty oatgrass,,Danthonia spicata
N,D,Dasiphora fruticosa,shrubby cinquefoil,,Potentilla fruticosa
I,H,Datura stramonium,devil's apple,,Datura stramonium
I,H,Datura wrightii,angel's trumpet,,Datura wrightii
I,H,Daucus carota,Queen Anne's lace,,Daucus carota
N,D,Decodon verticillatus,water-willow,,"Decodon verticillatus, Decodon verticillatus var. laevigatus"
N,H,Delphinium carolinianum subsp. virescens,prairie larkspur,,Delphinium virescens
N,H,Dendrolycopodium dendroideum,Prickly Tree Clubmoss,,Lycopodium obscurum s.s.
N,H,Dendrolycopodium hickeyi,Hickey’s Tree Clubmoss,,Lycopodium obscurum s.s.
N,H,Dendrolycopodium obscurum,Flat-Branched Tree Clubmoss,,
N,H,Deparia acrostichoides,silvery spleenwort,,Athyrium thelypterioides
N,G,Deschampsia cespitosa subsp. cespitosa,tufted hair grass,,Deschampsia cespitosa
N,G,Deschampsia flexuosa,wavy hairgrass,,Deschampsia flexuosa
N,H,Descurainia incana,Richardson's tansy mustard,,Descurainia richardsonii
N,H,Descurainia pinnata subsp. brachycarpa,pinnate tansy mustard,,Descurainia pinnata var. brachycarpa
I,H,Descurainia sophia,herb sophia,,Descurainia sophia
N,H,Desmanthus illinoensis,prairie mimosa,,Desmanthus illinoensis
N,H,Desmodium canadense,Canada tick trefoil,,Desmodium canadense
N,H,Desmodium cuspidatum,big tick trefoil,,"Desmodium cuspidatum, Desmodium cuspidatum var. longifolium"
N,H,Desmodium illinoense,Illinois tick trefoil,,Desmodium illinoense
I,H,Dianthus armeria subsp. armeria,Deptford pink,,Dianthus armeria
I,H,Dianthus barbatus subsp. barbatus,,,Dianthus barbatus
I,H,Dianthus deltoides subsp. deltoides,,,Dianthus deltoides
N,G,Diarrhena obovata,obovate beakgrain,,Diarrhena americana var. obovata
N,H,Dicentra canadensis,squirrel corn,,Dicentra canadensis
N,H,Dicentra cucullaria,dutchman's breeches,,Dicentra cucullaria
N,G,Dichanthelium acuminatum,hairy panic grass,,Panicum lanuginosum
N,G,Dichanthelium acuminatum subsp. fasciculatum,hairy panic grass,,"Panicum lanuginosum var. fasciculatum, Panicum lanuginosum var. tennesseense"
N,G,Dichanthelium acuminatum subsp. implicatum,hairy panic grass,,"Panicum columbianum, Panicum lanuginosum var. implicatum, Panicum leucothrix"
N,G,Dichanthelium acuminatum subsp. lindheimeri,hairy panic grass,,Panicum lanuginosum var. lindheimeri
N,G,Dichanthelium boreale,northern panic grass,,Panicum boreale
N,G,Dichanthelium depauperatum,poor panic grass,,Panicum depauperatum
N,G,Dichanthelium latifolium,broad-leaved panic grass,,Panicum latifolium
N,G,Dichanthelium leibergii,Leiberg's panic grass,,Panicum leibergii
N,G,Dichanthelium linearifolium,linear-leaved panic grass,,Panicum linearifolium
N,G,Dichanthelium oligosanthes,few-flowered panic grass,,Panicum oligosanthes
N,G,Dichanthelium oligosanthes subsp. oligosanthes,Scribner's panic grass,,Panicum oligosanthes
N,G,Dichanthelium oligosanthes subsp. scribnerianum,Scribner's panic grass,,Panicum oligosanthes
N,G,Dichanthelium ovale,long-haired panic grass,,"Panicum commonsianum var. euchlamydeum, Panicum villosissimum"
N,G,Dichanthelium ovale subsp. praecocius,long-haired panic grass,,Panicum villosissimum
N,G,Dichanthelium ovale subsp. pseudopubescens,white-haired panic grass,,"Panicum commonsianum var. euchlamydeum, Panicum villosissimum"
N,G,Dichanthelium ovale subsp. villosissimum,long-haired panic grass,,Panicum villosissimum
N,G,Dichanthelium perlongum,long-stalked panic grass,,
N,G,Dichanthelium wilcoxianum,Wilcox's panic grass,,Panicum wilcoxianum
N,G,Dichanthelium xanthophysum,yellow panic grass,,Panicum xanthophysum
N,H,Didiplis diandra,water purslane,,Didiplis diandra
N,D,Diervilla lonicera,bush honeysuckle,,Diervilla lonicera
I,H,Digitalis grandiflora,yellow foxglove,,
I,H,Digitalis lanata,Grecian foxglove,,Digitalis lanata
N,G,Digitaria cognata,fall witch grass,,Leptoloma cognatum
I,G,Digitaria ischaemum,smooth crabgrass,,Digitaria ischaemum
I,G,Digitaria sanguinalis,hairy crabgrass,,Digitaria sanguinalis
N,H,Dioscorea villosa,wild yam,,Dioscorea villosa
N,H,Diphasiastrum complanatum,northern ground-cedar,,Lycopodium complanatum
N,H,Diphasiastrum digitatum,fan ground-cedar,,Lycopodium digitatum
N,H,Diphasiastrum tristachyum,blue ground-cedar,,Lycopodium tristachyum
N,H,Diphasiastrum xhabereri,Haberer's groundcedar,,Lycopodium xhabereri
N,H,Diphasiastrum xverecundum,running-pine,,
N,H,Diphasiastrum xzeilleri,Zeiller's groundcedar,,Lycopodium xzeilleri
I,H,Dipsacus fullonum,common teasel,,Dipsacus fullonum
I,H,Dipsacus laciniatus,cutleaf teasel,,Dipsacus laciniatus
N,D,Dirca palustris,leatherwood,,Dirca palustris
N,G,Distichlis spicata,salt grass,,Distichlis spicata var. stricta
N,H,Dodecatheon amethystinum,jeweled shooting star,,"Dodecatheon radicatum, Dodecatheon radicatum var. radicatum"
N,H,Dodecatheon meadia,prairie shooting star,,Dodecatheon meadia var. meadia
N,H,Doellingeria umbellata,flat-topped aster,,"Aster pubentior, Aster umbellatus"
